job_level,person_level,Employee_type,marital_status_maried_Y_N,gender,age,Education_level,GPA,year_graduated,job_duration_in_current_job_level,job_duration_in_current_person_level,job_duration_in_current_branch,number_of_dependences,job_duration_from_training,branch_rotation,job_rotation,assign_of_otherposition,annual_leave,sick_leaves,Last_achievement_percentage,Achievement_ab100%d_3quartal,Best_Performance
JG05,PG05,RM_type_A,Y,1,1977,level_4,0.0,1999,8.2,8.2,7.1,2,16,12,9,0,8,0,9.5,20,0
JG05,PG05,RM_type_A,Y,2,1980,level_4,3.4,2003,8.2,8.2,7.1,1,15,9,9,0,2,0,11.3,30,0
JG05,PG05,RM_type_A,Y,2,1981,level_5,0.3,2010,8.2,8.2,1.7,1,8,5,4,4,2,0,9.8,20,0
JG05,PG05,RM_type_C,Y,2,1981,level_4,3.1,2004,8.2,8.2,10.0,2,14,6,8,10,3,0,10.2,30,0
JG05,PG05,RM_type_A,Y,2,1983,level_4,2.7,2007,8.2,8.2,0.0,2,8,8,4,6,7,0,11.3,30,0
JG05,PG05,RM_type_A,Y,1,1980,level_4,0.0,2004,8.2,8.2,1.8,3,15,7,7,1,3,0,8.4,0,0
JG05,PG05,RM_type_A,Y,2,1980,level_4,0.3,2003,8.2,8.2,7.1,2,15,10,9,1,6,3,10.1,20,0
JG05,PG05,RM_type_A,Y,1,1980,level_4,3.6,2003,8.2,8.2,7.1,3,14,9,8,0,2,8,6.6,0,0
JG05,PG05,RM_type_A,Y,1,1983,level_3,3.2,2004,8.2,8.2,1.2,2,8,4,5,0,4,1,5.6,0,0
JG05,PG05,RM_type_A,Y,1,1977,level_3,0.0,2000,8.2,8.2,4.1,3,18,15,11,0,10,4,6.1,0,0
JG05,PG05,RM_type_A,Y,2,1982,level_4,2.1,2011,7.6,7.6,1.4,1,16,9,9,0,2,0,10.5,10,0
JG05,PG05,RM_type_A,Y,1,1980,level_4,3.2,2002,7.6,7.6,1.2,2,15,9,6,0,3,0,9.7,10,0
JG05,PG05,RM_type_A,Y,1,1970,level_4,2.8,1993,7.6,7.6,7.1,3,24,11,10,0,4,0,7.3,0,0
JG05,PG05,RM_type_A,Y,1,1981,level_3,0.0,2003,7.6,7.6,7.1,3,15,9,8,3,5,0,8.7,10,0
JG05,PG05,RM_type_A,Y,1,1974,level_4,3.0,1998,7.6,7.6,1.1,1,21,14,7,2,0,0,6.8,0,1
JG05,PG05,RM_type_A,Y,2,1978,level_4,3.2,2002,7.6,7.6,7.1,2,15,6,10,1,0,0,9.7,20,0
JG05,PG05,RM_type_A,Y,2,1975,level_4,3.0,1999,7.6,7.6,10.0,2,18,12,6,0,3,1,8.9,10,1
JG04,PG03,RM_type_B,Y,2,1985,level_4,3.3,2007,7.1,7.1,7.1,1,3,2,2,0,6,0,6.7,0,0
JG04,PG03,RM_type_B,N,2,1990,level_4,3.7,2014,7.1,7.1,7.1,0,3,3,2,0,5,0,11.7,10,1
JG04,PG03,RM_type_B,N,1,1991,level_4,3.1,2014,7.1,7.1,7.1,0,3,3,2,0,4,0,4.8,0,0
JG04,PG03,RM_type_B,Y,2,1986,level_4,3.1,2010,7.1,7.1,1.2,0,4,3,3,0,11,0,6.1,0,0
JG04,PG03,RM_type_B,Y,2,1989,level_4,3.4,2012,7.1,7.1,1.2,1,3,3,2,0,1,0,10.9,10,0
JG04,PG03,RM_type_B,Y,2,1982,level_4,2.9,2005,7.1,7.1,1.2,2,6,3,2,0,3,0,7.5,0,0
JG04,PG03,RM_type_A,Y,1,1984,level_4,3.3,2006,7.1,7.1,1.2,3,4,2,2,0,3,0,7.5,0,0
JG04,PG03,RM_type_B,Y,2,1990,level_4,3.3,2013,7.1,7.1,1.2,1,3,2,2,0,3,0,5.5,0,0
JG04,PG03,RM_type_B,N,2,1986,level_4,2.9,2011,7.1,7.1,1.2,0,3,2,2,0,0,0,1.3,0,1
JG04,PG03,RM_type_B,N,2,1988,level_4,3.0,2010,7.1,7.1,1.2,0,3,2,2,0,0,0,10.6,20,0
JG04,PG03,RM_type_B,N,2,1986,level_4,3.8,2011,7.1,7.1,1.2,0,3,2,2,0,2,0,8.6,20,0
JG04,PG03,RM_type_A,Y,2,1982,level_4,3.0,2006,7.1,7.1,0.0,0,7,4,4,0,1,0,6.9,0,0
JG04,PG03,RM_type_B,Y,2,1991,level_4,0.3,2013,7.1,7.1,0.0,0,3,4,3,0,6,0,3.8,0,1
JG04,PG03,RM_type_B,N,2,1991,level_4,3.4,2013,7.1,7.1,1.5,0,2,1,2,0,0,0,7.7,0,0
JG04,PG03,RM_type_B,Y,2,1991,level_4,3.3,2012,7.1,7.1,1.7,1,3,1,2,0,3,0,7.5,0,0
JG04,PG03,RM_type_A,Y,2,1989,level_4,0.3,2011,7.1,7.1,1.2,1,6,5,3,0,3,0,5.9,0,0
JG04,PG03,RM_type_B,Y,2,1983,level_4,3.2,2008,7.1,7.1,1.6,2,6,3,4,0,2,0,5.0,0,1
JG04,PG03,RM_type_C,Y,1,1986,level_4,0.0,2009,7.1,7.1,1.6,0,6,3,4,0,7,0,6.3,0,0
JG04,PG03,RM_type_B,N,2,1989,level_4,3.4,2012,7.1,7.1,15.0,0,4,3,2,0,4,0,4.3,0,0
JG04,PG03,RM_type_A,Y,2,1985,level_4,3.1,2008,7.1,7.1,1.6,2,4,3,2,0,2,0,6.1,0,0
JG04,PG03,RM_type_A,N,2,1987,level_4,3.2,2011,7.1,7.1,6.5,0,3,3,3,0,3,0,6.0,0,0
JG04,PG03,RM_type_A,Y,2,1987,level_4,3.1,2011,7.1,7.1,5.0,0,6,3,3,0,0,0,10.6,30,0
JG04,PG03,RM_type_B,N,1,1984,level_4,3.4,2007,7.1,7.1,1.6,0,4,2,2,0,4,0,6.0,0,0
JG04,PG03,RM_type_B,N,1,1987,level_4,0.3,2013,7.1,7.1,1.6,0,4,2,2,0,0,0,5.8,0,0
JG04,PG03,RM_type_B,Y,2,1988,level_4,0.3,2013,7.1,7.1,1.5,1,4,2,2,0,7,0,10.3,10,0
JG04,PG03,RM_type_B,Y,2,1988,level_4,0.0,2014,7.1,7.1,1.4,0,3,2,2,0,3,0,4.9,0,0
JG04,PG03,RM_type_A,N,2,1991,level_3,0.3,2013,7.1,7.1,5.7,0,4,4,2,0,8,0,4.3,0,0
JG04,PG03,RM_type_A,Y,2,1988,level_3,3.2,2011,7.1,7.1,1.2,2,4,3,2,0,1,0,3.4,0,1
JG04,PG03,RM_type_A,Y,2,1988,level_3,0.3,2010,7.1,7.1,1.6,1,5,2,2,0,5,0,5.0,0,0
JG04,PG03,RM_type_A,Y,1,1985,level_3,0.0,2014,7.1,7.1,1.4,0,6,3,3,0,3,0,9.4,10,0
JG04,PG03,RM_type_A,N,2,1987,level_3,3.1,2009,7.1,7.1,1.1,0,6,4,3,0,2,0,3.4,0,0
JG04,PG03,RM_type_A,Y,2,1982,level_3,3.0,2003,7.1,7.1,1.1,2,5,4,5,0,0,0,4.8,0,0
JG04,PG03,RM_type_B,Y,1,1992,level_3,3.2,2013,7.1,7.1,1.2,1,3,2,2,0,3,0,3.9,0,0
JG05,PG05,RM_type_A,Y,2,1978,level_4,0.0,2001,7.1,7.1,2.1,2,15,6,7,0,0,0,8.7,10,0
JG05,PG05,RM_type_A,Y,2,1981,level_4,0.0,2006,7.1,7.1,1.1,2,8,4,4,0,0,0,8.2,0,0
JG05,PG05,RM_type_C,Y,2,1980,level_4,0.0,2004,7.1,7.1,1.6,2,14,6,6,0,2,0,9.0,10,0
JG05,PG05,RM_type_A,Y,2,1983,level_4,3.1,2007,7.1,7.1,1.6,3,7,3,3,0,3,0,6.3,0,0
JG05,PG05,RM_type_A,Y,1,1973,level_4,0.0,1998,7.1,7.1,1.6,2,19,7,8,0,6,0,5.5,0,0
JG05,PG05,RM_type_A,Y,2,1978,level_4,3.1,2000,7.1,7.1,7.1,1,18,10,7,0,3,0,7.7,0,1
JG05,PG05,RM_type_A,Y,2,1986,level_3,3.3,2008,7.1,7.1,7.1,0,7,3,4,0,0,0,7.1,0,0
JG05,PG05,RM_type_A,Y,2,1980,level_3,0.3,2003,7.1,7.1,15.0,0,15,11,6,2,0,0,8.2,0,0
JG05,PG05,RM_type_A,Y,2,1978,level_3,3.1,2000,7.1,7.1,1.9,2,18,7,7,1,5,0,10.2,20,0
JG05,PG05,RM_type_C,Y,1,1981,level_3,2.8,2003,7.1,7.1,1.2,2,16,6,10,1,0,0,8.2,0,0
JG04,PG03,RM_type_A,Y,1,1985,level_3,3.1,2007,7.1,7.1,1.5,2,4,2,3,2,3,0,4.6,0,0
JG04,PG03,RM_type_A,N,2,1986,level_3,2.9,2006,7.1,7.1,5.0,0,7,3,2,6,0,0,7.2,0,0
JG04,PG03,RM_type_B,Y,2,1990,level_3,0.3,2013,7.1,7.1,1.6,0,4,2,2,1,6,0,4.5,0,0
JG04,PG03,RM_type_B,N,2,1992,level_3,2.8,2013,7.1,7.1,1.6,0,2,2,2,1,3,0,8.2,0,0
JG05,PG05,RM_type_C,Y,2,1982,level_4,3.1,2006,7.1,7.1,0.0,2,7,7,6,6,3,0,7.9,0,0
JG05,PG05,RM_type_A,Y,2,1977,level_4,3.0,2001,7.1,7.1,8.7,2,16,10,8,5,6,0,4.2,0,0
JG05,PG05,RM_type_A,Y,2,1978,level_4,3.1,2000,7.1,7.1,1.2,2,16,10,11,4,5,0,10.1,20,0
JG05,PG05,RM_type_A,Y,2,1979,level_4,3.5,2001,7.1,7.1,1.6,2,17,10,8,5,5,0,7.1,0,0
JG05,PG05,RM_type_A,N,2,1980,level_4,0.0,2003,7.1,7.1,1.2,0,14,5,6,2,3,0,8.4,0,0
JG05,PG05,RM_type_A,N,2,1982,level_4,3.6,2005,7.1,7.1,1.2,0,7,3,5,3,0,0,4.3,0,0
JG05,PG05,RM_type_A,N,2,1985,level_4,3.5,2008,7.1,7.1,1.2,0,7,2,5,5,0,0,10.2,30,0
JG05,PG05,RM_type_A,Y,2,1982,level_4,0.3,2004,7.1,7.1,7.1,0,13,8,10,1,0,0,5.4,0,0
JG05,PG05,RM_type_A,Y,1,1977,level_4,3.1,2000,7.1,7.1,7.1,3,17,9,8,1,3,0,5.2,0,0
JG05,PG05,RM_type_A,Y,2,1970,level_4,0.0,2001,7.1,7.1,7.1,2,23,10,8,7,7,0,10.9,30,0
JG04,PG03,RM_type_B,N,2,1990,level_4,3.0,2012,7.1,7.1,1.2,0,2,2,2,3,2,0,4.0,0,0
JG04,PG03,RM_type_A,N,2,1988,level_4,3.3,2012,7.1,7.1,1.2,0,5,4,2,1,4,0,11.0,10,0
JG04,PG03,RM_type_A,N,2,1989,level_4,0.0,2014,7.1,7.1,1.2,0,3,3,3,1,3,0,2.9,0,1
JG04,PG03,RM_type_B,Y,2,1984,level_4,3.1,2007,7.1,7.1,7.1,0,6,4,2,1,6,0,7.6,0,0
JG04,PG03,RM_type_C,Y,1,1985,level_4,2.9,2008,7.1,7.1,7.1,1,6,3,3,2,9,1,5.9,0,0
JG04,PG03,RM_type_A,Y,2,1989,level_4,3.6,2011,7.1,7.1,7.1,0,4,2,3,2,4,1,11.1,20,1
JG05,PG05,RM_type_A,Y,2,1977,level_4,3.2,2001,7.1,7.1,7.1,2,16,8,8,1,1,1,6.0,0,0
JG05,PG05,RM_type_A,Y,2,1986,level_3,2.7,2011,7.1,7.1,8.7,2,8,4,4,1,3,4,12.3,30,0
JG04,PG03,RM_type_A,Y,2,1986,level_4,2.8,2011,7.1,7.1,1.2,0,5,3,2,9,5,6,9.2,20,0
JG05,PG05,RM_type_A,Y,1,1982,level_4,3.4,2004,7.1,7.1,7.1,2,15,10,10,5,0,4,3.8,0,0
JG04,PG03,RM_type_A,Y,2,1988,level_4,2.9,2011,7.1,7.1,1.2,1,4,2,3,2,3,2,1.6,0,0
JG04,PG03,RM_type_B,Y,2,1986,level_4,3.1,2011,7.1,7.1,1.2,1,6,3,3,1,5,2,5.2,0,0
JG05,PG05,RM_type_A,Y,1,1983,level_4,2.9,2006,7.1,7.1,7.1,2,7,5,5,0,0,7,6.2,0,0
JG05,PG05,RM_type_A,Y,1,1970,level_4,2.7,1996,7.1,7.1,4.1,2,22,9,7,0,3,15,7.2,0,0
JG05,PG05,RM_type_A,Y,1,1983,level_4,3.6,2004,7.1,7.1,1.2,2,14,8,9,0,0,6,6.4,0,0
JG05,PG05,RM_type_A,Y,1,1979,level_5,3.6,2005,7.1,7.1,1.2,2,13,6,9,0,6,1,10.0,20,0
JG04,PG03,RM_type_C,Y,1,1990,level_3,3.1,2011,7.1,7.1,1.2,1,3,3,3,0,0,12,6.8,0,0
JG04,PG03,RM_type_A,Y,1,1984,level_3,3.0,2006,7.1,7.1,0.0,1,6,4,5,0,3,5,6.2,0,0
JG04,PG03,RM_type_C,Y,2,1988,level_3,2.8,2013,7.1,7.1,2.8,0,3,3,3,0,2,2,1.4,0,0
JG04,PG03,RM_type_B,Y,1,1991,level_3,3.2,2012,7.1,7.1,7.1,1,5,7,4,0,0,2,7.4,0,0
JG04,PG03,RM_type_B,Y,2,1991,level_4,0.0,2016,7.1,7.1,1.6,0,3,1,2,0,1,15,5.8,0,1
JG04,PG03,RM_type_A,Y,1,1983,level_4,0.3,2007,7.1,7.1,1.6,1,4,2,3,0,12,5,6.9,0,0
JG04,PG03,RM_type_B,Y,2,1987,level_4,3.1,2010,7.1,7.1,1.6,2,3,2,2,0,5,10,8.1,0,0
JG04,PG03,RM_type_B,Y,2,1988,level_4,2.8,2012,7.1,7.1,1.6,0,5,2,2,0,4,4,7.7,0,0
JG04,PG03,RM_type_B,N,1,1986,level_4,0.0,2016,7.1,7.1,1.2,0,3,3,2,0,9,3,4.8,0,0
JG04,PG03,RM_type_B,N,2,1989,level_4,0.3,2013,7.1,7.1,1.2,0,3,3,3,0,5,3,4.0,0,0
JG04,PG03,RM_type_B,Y,2,1986,level_4,0.3,2010,7.1,7.1,1.2,1,5,3,2,0,3,3,5.8,0,0
JG04,PG03,RM_type_A,Y,1,1984,level_4,3.2,2008,7.1,7.1,1.6,0,7,4,3,0,4,2,4.5,0,0
JG04,PG03,RM_type_B,N,2,1990,level_4,3.5,2013,7.1,7.1,1.5,0,3,2,2,0,3,2,5.0,0,1
JG04,PG03,RM_type_A,Y,1,1991,level_4,3.4,2011,7.1,7.1,1.2,1,6,5,6,0,5,2,7.1,10,0
JG04,PG03,RM_type_A,Y,2,1984,level_4,0.0,2008,7.1,7.1,1.5,1,7,4,3,0,2,1,7.5,0,1
JG04,PG03,RM_type_A,N,2,1991,level_4,3.4,2011,7.1,7.1,5.0,0,4,3,3,0,4,1,4.9,0,1
JG04,PG03,RM_type_B,Y,2,1985,level_4,3.2,2008,7.1,7.1,1.2,2,6,3,2,0,5,1,8.0,10,0
JG04,PG03,RM_type_B,Y,1,1990,level_4,3.6,2012,7.1,7.1,7.1,1,3,2,2,0,3,1,4.4,0,0
JG04,PG03,RM_type_B,N,2,1986,level_4,0.3,2011,7.1,7.1,7.1,0,6,6,3,0,3,1,4.7,0,1
JG04,PG03,RM_type_B,Y,1,1986,level_4,0.0,2014,7.1,7.1,7.1,2,3,2,2,0,3,6,1.3,0,0
JG04,PG03,RM_type_B,Y,2,1991,level_4,0.3,2013,6.5,6.5,7.1,0,3,2,2,0,2,0,1.3,0,0
JG04,PG03,RM_type_A,N,2,1991,level_4,3.0,2013,6.5,6.5,1.2,0,3,2,2,0,0,0,5.4,0,0
JG04,PG03,RM_type_A,Y,1,1989,level_4,3.4,2011,6.5,6.5,1.6,1,4,3,3,0,0,0,4.4,0,0
JG04,PG03,RM_type_A,Y,2,1989,level_4,0.3,2011,6.5,6.5,1.6,1,3,2,3,0,3,0,1.3,0,0
JG04,PG03,RM_type_B,Y,1,1984,level_4,2.9,2009,6.5,6.5,15.0,3,4,2,2,0,5,0,5.3,0,0
JG04,PG03,RM_type_B,Y,2,1989,level_4,0.3,2012,6.5,6.5,15.0,0,3,2,2,0,9,0,7.0,0,0
JG04,PG03,RM_type_A,Y,2,1985,level_3,3.1,2008,6.5,6.5,1.2,1,7,5,3,0,4,0,4.8,0,0
JG04,PG03,RM_type_A,Y,2,1987,level_3,0.3,2007,6.5,6.5,7.1,2,3,2,2,0,0,0,1.3,0,0
JG04,PG03,RM_type_B,Y,2,1989,level_3,0.3,2013,6.5,6.5,6.5,1,3,3,3,1,3,0,5.6,0,0
JG04,PG03,RM_type_B,Y,2,1984,level_4,2.9,2007,6.5,6.5,1.2,1,7,5,5,4,0,0,3.7,0,0
JG03,PG02,RM_type_B,Y,2,1990,level_4,3.1,2012,6.5,0.0,4.1,1,5,4,3,0,9,4,5.3,0,0
JG04,PG03,RM_type_B,N,2,1989,level_3,3.0,2009,6.5,6.5,7.1,0,4,2,2,0,1,3,4.2,0,0
JG04,PG03,RM_type_B,Y,1,1988,level_3,0.3,2009,6.5,6.5,9.6,1,4,3,4,0,5,1,5.0,0,0
JG04,PG03,RM_type_B,N,2,1990,level_4,3.5,2013,6.5,1.2,7.1,0,3,2,2,0,1,4,1.4,0,0
JG05,PG05,RM_type_A,Y,1,1981,level_3,0.0,2003,5.7,5.7,1.2,2,15,6,8,2,7,0,6.7,0,0
JG04,PG03,RM_type_A,Y,2,1982,level_3,0.3,2012,5.7,5.7,1.2,2,6,3,2,1,3,0,8.0,0,1
JG04,PG03,RM_type_B,Y,2,1984,level_3,3.0,2009,5.7,5.7,1.2,1,5,3,2,1,3,0,10.4,30,0
JG05,PG05,RM_type_A,Y,1,1978,level_4,0.4,2001,5.7,5.7,9.1,2,17,11,9,1,2,0,8.5,0,0
JG05,PG05,RM_type_A,Y,2,1978,level_4,2.9,2002,5.7,5.7,1.1,1,15,9,9,1,7,0,10.8,30,0
JG05,PG05,RM_type_A,Y,2,1982,level_4,3.7,2004,5.7,5.7,1.6,1,14,6,6,11,2,0,10.0,30,0
JG05,PG05,RM_type_A,Y,1,1981,level_4,3.3,2003,5.7,5.7,1.1,2,15,8,7,3,3,0,10.2,30,0
JG05,PG05,RM_type_A,Y,2,1980,level_4,3.3,2004,5.7,5.7,7.1,2,14,10,8,5,2,0,8.0,0,0
JG05,PG05,RM_type_A,Y,2,1981,level_4,3.2,2005,5.7,5.7,7.1,2,13,8,8,1,7,0,9.2,30,0
JG05,PG05,RM_type_A,Y,2,1979,level_4,3.3,2003,5.7,5.7,7.1,3,16,12,7,1,7,0,7.7,0,0
JG05,PG05,RM_type_A,Y,2,1979,level_4,3.2,2002,5.7,5.7,7.1,1,16,10,7,7,3,0,10.3,30,0
JG05,PG05,RM_type_A,Y,2,1980,level_4,3.3,2003,5.7,5.7,7.1,1,14,8,6,19,4,0,9.4,30,0
JG05,PG05,RM_type_A,Y,2,1980,level_4,3.1,2003,5.7,5.7,7.1,3,13,6,6,1,4,1,7.5,0,0
JG04,PG03,RM_type_A,Y,2,1986,level_3,0.3,2007,5.7,5.7,1.2,1,6,3,3,2,3,8,9.3,30,0
JG05,PG05,RM_type_A,Y,2,1976,level_4,3.0,2000,5.7,5.7,9.1,3,18,11,9,1,9,3,5.8,0,0
JG04,PG03,RM_type_A,Y,2,1986,level_4,3.4,2008,5.7,5.7,1.2,1,7,4,2,2,4,4,9.8,30,0
JG05,PG05,RM_type_A,Y,2,1976,level_4,2.8,2000,5.7,5.7,1.6,3,18,9,7,8,4,2,5.5,0,1
JG04,PG03,RM_type_B,N,2,1981,level_4,0.3,2005,5.7,5.7,1.1,0,7,5,3,0,2,4,11.6,30,0
JG04,PG03,RM_type_A,Y,2,1985,level_4,3.2,2008,5.7,5.7,1.1,0,6,4,4,0,6,4,7.2,0,1
JG04,PG03,RM_type_B,Y,1,1986,level_4,3.3,2008,5.7,5.7,1.1,1,6,3,4,0,5,7,6.9,0,1
JG04,PG03,RM_type_B,Y,1,1988,level_4,0.3,2011,5.7,5.7,1.1,2,5,3,2,0,9,3,7.6,0,1
JG04,PG03,RM_type_A,Y,2,1986,level_4,3.2,2009,5.7,5.7,1.4,2,6,3,3,0,3,3,8.9,30,0
JG04,PG03,RM_type_A,N,1,1989,level_4,3.5,2011,5.7,5.7,1.2,0,3,2,2,0,4,2,5.0,0,0
JG04,PG03,RM_type_B,Y,1,1988,level_4,0.0,2011,5.7,5.7,7.1,0,5,5,3,0,4,6,6.7,0,0
JG05,PG05,RM_type_A,Y,1,1985,level_4,3.3,2007,4.1,4.1,1.2,3,8,6,6,0,2,0,6.9,0,0
JG05,PG05,RM_type_A,Y,2,1980,level_4,2.9,2004,4.1,4.1,1.6,2,14,11,7,5,0,0,9.6,20,0
JG05,PG05,RM_type_A,Y,1,1981,level_4,3.2,2004,4.1,4.1,7.1,2,14,11,8,3,4,0,9.7,30,0
JG05,PG05,RM_type_A,Y,2,1980,level_4,3.5,2003,4.1,4.1,7.1,2,14,10,6,4,4,0,10.7,20,0
JG05,PG05,RM_type_A,Y,2,1977,level_4,3.1,2001,4.1,4.1,7.1,2,16,12,8,6,6,0,7.9,0,0
JG05,PG05,RM_type_A,Y,1,1971,level_3,3.0,1994,4.1,4.1,7.1,3,22,12,8,4,7,10,8.8,10,0
JG05,PG05,RM_type_A,Y,2,1976,level_4,0.0,1999,4.1,4.1,7.1,3,17,12,10,0,5,1,9.8,20,0
